year,fed_trawl,fed_longline,fed_pot,fed_other,fed_tot,st_longline,st_pot,st_other,st_tot,tot
1991,58092,7630,10464,115,76301,0,0,0,0,76301
1992,54593,15675,10154,325,80747,0,0,0,0,80747
1993,37806,8963,9708,11,56488,0,0,0,0,56488
1994,31447,6778,9161,100,47486,0,0,0,0,47486
1995,41875,10978,16055,77,68985,0,0,0,0,68985
1996,45990,10196,12040,53,68279,0,0,0,0,68279
1997,48406,10978,9065,26,68475,0,7368,1327,8695,77170
1998,41570,10012,10510,29,62121,0,9183,1320,10503,72624
1999,37167,12363,19015,70,68615,0,12410,1518,13928,82543
2000,25443,11660,17351,54,54508,0,10399,1644,12043,66551
2001,24383,9910,7171,155,41619,0,7829,2083,9912,51531
2002,19810,14666,7694,176,42346,0,10578,1714,12292,54638
2003,18884,9525,12765,161,41335,62,7943,3242,11247,52582
2004,17513,10326,14966,400,43205,51,10602,2765,13418,56623
2005,14549,5732,14749,203,35233,26,9653,2673,12352,47585
2006,13132,10244,14540,118,38034,55,9146,662,9863,47897
2007,14775,11539,13573,44,39931,270,11378,682,12330,52261
2008,20293,12106,11229,63,43691,317,13438,1568,15323,59014
2009,13976,13968,11951,206,40101,676,9919,2500,13095,53196
2010,22035,16538,20116,429,59118,826,14604,4045,19475,78593
2011,16456,16622,29233,722,63033,1033,16675,4627,22335,85368
2012,20084,14467,21238,722,56511,866,15940,4613,21419,77930
2013,21706,12836,17011,476,52029,1088,14156,1303,16547,68576
2014,26917,14735,19957,1046,62655,1007,18445,2838,22290,84945
2015,22268,13047,20653,408,56376,577,19719,2808,23104,79480
2016,15217,8123,19248,346,42934,803,18609,1708,21120,64054
2017,13041,8965,13426,67,35499,155,13011,62,13228,48727
2018,3818,3033,4013,121,10985,310,3660,195,4165,15150
2019,4535,2763,3732,178,11208,358,3820,329,4507,15715
2020,3427,586,30,0,4043,527,1779,491,2797,6840
2021,5989,3834,3427,52,13302,558,4230,1085,5873,19175
2022,6885,4606,4725,3,16219,354,5670,974,6998,23217
