"","Catch.Yr","Catch.scenario_1","Catch.scenario_2","Catch.scenario_3","Catch.scenario_4","Catch.scenario_5","Catch.scenario_6","Catch.scenario_7","F.Yr","F.scenario_1","F.scenario_2","F.scenario_3","F.scenario_4","F.scenario_5","F.scenario_6","F.scenario_7","SSB.Yr","SSB.scenario_1","SSB.scenario_2","SSB.scenario_3","SSB.scenario_4","SSB.scenario_5","SSB.scenario_6","SSB.scenario_7"
"1",2022,21414,21414,21414,21414,21414,21414,21414,2022,0.297924,0.297924,0.297924,0.297924,0.297924,0.297924,0.297924,2022,50173.5,50173.5,50173.5,50173.5,50173.5,50173.5,50173.5
"2",2023,26993,26993,14501.2,6727.29,0,32479,26992.9,2023,0.436339,0.436339,0.218723,0.0981568,0,0.541346,0.436338,2023,44734.4,44734.4,44734.4,44734.4,44734.4,44734.4,44734.4
"3",2024,22034.9,22034.9,14536.2,7637.23,0,24193.6,22034.9,2024,0.384345,0.384345,0.217504,0.104647,0,0.450289,0.384344,2024,39787.1,39787.1,44503,47479.5,50084.5,37750.9,39787.15
"4",2025,28907.5,28907.5,19810.9,10958.8,0,31723.2,34996.6,2025,0.438014,0.438014,0.253665,0.125529,0,0.512444,0.543424,2025,44893.75,44893.75,51367,56312,61293.5,42517.8,44893.75
"5",2026,47639.7,47639.7,32026.5,16394.5,0,52566.4,53737.1,2026,0.573737,0.573737,0.322618,0.144782,0,0.675154,0.684709,2026,57808,57808,66084.5,73207.5,81241.5,54996.5,55729.5
"6",2027,63302.4,63302.4,39571.3,20838.7,0,72194.8,72181.1,2027,0.643602,0.643602,0.322618,0.144782,0,0.798488,0.798488,2027,70061,70061,82019,93302,105771.5,66184.5,66231.5
"7",2028,68406.3,68406.3,45231.7,24536.9,0,75931.1,75874.1,2028,0.643602,0.643602,0.322618,0.144782,0,0.798488,0.798488,2028,76232,76232,94316.5,110305.5,128091.5,70043.5,70004.5
"8",2029,70492.5,70492.5,48537.8,27021.3,0,77005.5,76972.7,2029,0.643602,0.643602,0.322618,0.144782,0,0.798488,0.798488,2029,78947.5,78947.5,101879.5,122278,145528,71280,71249.5
"9",2030,71313.2,71313.2,50376.7,28630.2,0,77296.5,77282.7,2030,0.643602,0.643602,0.322618,0.144782,0,0.798488,0.798488,2030,80113,80113,106397.5,130625,159261,71667,71652.5
"10",2031,71627.4,71627.4,51336.8,29602.7,0,77376.8,77371.3,2031,0.643602,0.643602,0.322618,0.144782,0,0.798488,0.798488,2031,80578.5,80578.5,108858,135891.5,168974.5,71781.5,71775
"11",2032,71780.2,71780.2,51897.4,30246.8,0,77420.3,77418.1,2032,0.643602,0.643602,0.322618,0.144782,0,0.798488,0.798488,2032,80819.5,80819.5,110378.5,139582,176493.5,71845.5,71843
"12",2033,71833.4,71833.4,52165,30602.5,0,77430.8,77430,2033,0.643602,0.643602,0.322618,0.144782,0,0.798488,0.798488,2033,80902,80902,111103.5,141618.5,181146.5,71860.5,71859.5
"13",2034,71852.6,71852.6,52293.3,30799,0,77433.6,77433.4,2034,0.643602,0.643602,0.322618,0.144782,0,0.798488,0.798488,2034,80931,80931,111450.5,142743.5,184025.5,71864,71863.5
"14",2035,71859.7,71859.7,52354.9,30907.6,0,77434.5,77434.4,2035,0.643602,0.643602,0.322618,0.144782,0,0.798488,0.798488,2035,80942,80942,111617.5,143365.5,185807.5,71865,71865
"15",2036,71862.3,71862.3,52384.4,30967.7,0,77434.7,77434.7,2036,0.643602,0.643602,0.322618,0.144782,0,0.798488,0.798488,2036,80946,80946,111697.5,143709.5,186910,71865.5,71865.5
"16",2037,71863.3,71863.3,52398.6,31000.9,0,77434.8,77434.8,2037,0.643602,0.643602,0.322618,0.144782,0,0.798488,0.798488,2037,80947.5,80947.5,111735.5,143899.5,187592.5,71865.5,71865.5
